"This spreadsheet details metadata that the project team created for each record in the overall dataset. It includes information on the data types, the region the data covers, the publisher, how to access the dataset and more. The data dictionary that defines what each column means can be found here.",,,,,,,,,,,,,,,,,,
uid,name,link to dataset,contains salary data,data type,file format(s),dates,date classification,government type,location county,location city,location state,publisher,data dictionary,public access,salary type,point of contact,first published date,last updated date
1,Employee Salaries - 2023,https://catalog.data.gov/dataset/employee-salaries-2023,all,structured,"CSV, JSON, XML, RDF",2023,calendar year,county,Montgomery,na,MD,dataMontgomery,yes,yes,"annual salary, overtime wage","Kerming Tsaur
240-777-5029",2024-02-09,2024-02-09
2,Law Enforcement Officer (LEO) General Schedule Locality Pay,https://catalog.data.gov/dataset/law-enforcement-officer-leo-general-schedule-locality-pay-baf1b,all,collection,HTML,2011-2024,calendar year,federal,na,na,na,Office of Personnel Management,yes,yes,"annual salary, hourly wage, overtime wage",PayPolicy@opm.gov,na,na
3,FedScope Accessions Cubes,https://catalog.data.gov/dataset/fedscope-accessions-cubes-a76c0,contains,database,HTML,2005-2024,fiscal year,federal,na,na,na,Office of Personnel Management,yes,yes,salary range,FedScope@opm.gov,na,2023-09-01
4,Pay and Leave Special Rates,https://catalog.data.gov/dataset/pay-and-leave-special-rates-29256,contains,collection,HTML,2010-2024,calendar year,federal,na,na,na,Office of Personnel Management,no,yes,annual salary,Pay-Leave-Policy@opm.gov,na,na
5,Executive and Senior Level Pay,https://catalog.data.gov/dataset/executive-and-senior-level-pay-f4bb0,all,collection,HTML,2011-2024,calendar year,federal,na,na,na,Office of Personnel Management,yes,yes,annual salary,PayPolicy@opm.gov.,na,na
6,General Schedule and Locality Pay,https://catalog.data.gov/dataset/general-schedule-and-locality-pay-1a089,all,collection,HTML,2011-2024,calendar year,federal,na,na,na,Office of Personnel Management,yes,yes,"annual salary, hourly wage, overtime wage",PayPolicy@opm.gov,na,na
7,FedScope Separations Cubes,https://catalog.data.gov/dataset/fedscope-separations-cubes-7b093,contains,database,HTML,2005-2024,fiscal year,federal,na,na,na,Office of Personnel Management,yes,yes,salary range,FedScope@opm.gov,na,2023-09-01
8,FedScope Employment Cubes,https://catalog.data.gov/dataset/fedscope-employment-cubes-ffdfd,contains,database,HTML,1998-2024,calendar year,federal,na,na,na,Office of Personnel Management,yes,yes,salary range,FedScope@opm.gov,na,2023-09-01
9,FedScope Diversity Cubes,https://catalog.data.gov/dataset/fedscope-diversity-cubes-714ca,contains,database,HTML,1998-2024,calendar year,federal,na,na,na,Office of Personnel Management,yes,yes,salary range,FedScope@opm.gov,na,2023-09-01
10,EHRI Snapshot,https://catalog.data.gov/dataset/ehri-snapshot-ce943,contains,collection,na,na,na,federal,na,na,na,Office of Personnel Management,no,no,na,datadrivenworkforce@opm.gov,na,na
